nome,slug,url_pagina,data_lancamento,status,status_indice,categoria_coleta,no_recorte,resultados,urls_resultados,causa_falha,organizacao,pais,unidades_massa,oneliner
TROPICS Pathfinder,tropics,https://www.nanosats.eu/sat/tropics.html,2021-06-30,,"Reentered, Operational, ?",A - sensoriamento remoto,sim,"As of August 2023, the satellites have been undergoing tests of their main instruments, microwave radiometers to collect temperature and humidity data on tropical storms.
In addition to the high frequency of observations, the TROPICS satellites provide high-quality data. Blackwell said the precipitation rain rate estimate derived from TROPICS Pathfinder data is better than state-of-the-art instruments on much larger spacecraft.
Within four weeks of receiving MIT LL’s purchase order, ATLAS had completed spacecraft integration and TROPICS was declared operational on ATLAS’ Global Federated Network—a process that typically takes ground segment providers several months or more to perform.",https://spacenews.com/tropics-cubesat-constellation-ready-for-hurricane-season/ | https://spacenews.com/tropics-cubesat-constellation-ready-for-hurricane-season/ | https://www.satelliteevolution.com/post/atlas-space-operations-completes-rapid-onboarding-of-critical-tropics-spacecraft,,MIT (Massachusetts Institute of Technology),US,3U,Provide rapid-refresh microwave measurements over the tropics for weather prediction.
Tyvak-0173,tyvak-0173,https://www.nanosats.eu/sat/tyvak-0173.html,2021-06-30,Operational (News on 2021-12-06 about propulsion),Operational,—,não,"Performed 110 km in altitude orbit raise from TLEs as reported by Jonathan McDowell.
The orbit raising required about 65 meters per second.
Jonathan McDowell reported on 2021-12-03 that new TLE out today for Echostar EG-3 (48892) shows it in a 650 x 677 km x 96.0 deg orbit - first TLE in a month, Nov 3 it was in a 644 x 666 x 97.5 deg orbit, corresponding to a 1.5 deg inclination change. It is about 200 m/s.",https://twitter.com/planet4589/status/1417672513451175937?s=20 | https://spacenews.com/stellar-exploration-propels-echostar-nanosatellite/ | https://twitter.com/planet4589/status/1466568960032358400,,EchoStar,US,16U,Two tiny S-band satellites to jumpstart a low-Earth-orbit constellation using spectrum gained through its acquisition of Helios Wire.
W-Cube,w-cube,https://www.nanosats.eu/sat/w-cube.html,2021-06-30,Reentry 2025-10-01. Was operational (Official news as of 2021-09-01),"Reentered, Operational",—,não,"In October 2025, announced the conclusion of its W-Cube mission, a 3U CubeSat that became the first to transmit a 75 GHz (W-band) signal from space to a ground station.",https://kuvaspace.com/en/resources/w-cube-mission-complete-kuva-space-achieves-first-75-ghz-signal-in-orbit-paving-the-way-for-faster-satellite-connectivity,,ESA (European Space Agency),,3U,Demonstrate the use of the 75-GHz frequency W-band for future telecommunications satellites.
LEDSAT,ledsat,https://www.nanosats.eu/sat/ledsat.html,2021-08-17,Reentry 2025-10-15. Was operational (IAC 2022 paper last checked on 2022-12-26),"Reentered, Operational",B - coleta de plataformas (DCS/IoT),sim,"The CubeSat switched on successfully after the deployment and all the parameters received through the telemetry were nominal. The LEDs payload was successfully switched on and observed by the S5Lab optical ground station network just 3 days after the deployment, proving the capability to detect the LEDs from ground.","https://iafastro.directory/iac/proceedings/IAC-22/IAC-22/B4/3/manuscripts/IAC-22,B4,3,12,x73652.pdf",,Sapienza University of Rome,Italy,1U,Equipped with LEDs and retroreflectors for optical tracking from ground.
RADCUBE,radcube,https://www.nanosats.eu/sat/radcube.html,2021-08-17,Reentry 2024-08-20. Was operational (Posts on social media as of 2021-11-11),"Reentered, Operational",—,não,"ESA’s latest CubeSat – RadCube, for surveying space weather in low-Earth orbit – has completed its rigorous commissioning phase, culminating in the extension of a magnetometer boom longer than the miniature satellite itself.
In Flight Performance of the MAGIC MagnetoresistiveMagnetometer on the RadCube CubeSat, 2025.",https://www.esa.int/ESA_Multimedia/Images/2021/11/RadCube_reaches_out#.YY1Oxu4iPyM.link | https://link.springer.com/epdf/10.1007/s11214-025-01170-w?sharing_token=mhsXHQX-waH536ZifT_xhve4RwlQNchNByi7wbcMAY5WjG7XU5oLW5SH1AxTAoic_-5lJ7BDfASS6MV7nnzR04Q8ST90OgT7-w4HBAqL0zOlTJ6AmMBoi0RDLdamkjHXktgAsYAo_PIxhGv0QJlwCo4gFPvuV1qD8ew3370KQ9Y%3D,,C3S,Hungary,3U,Real-time monitoring of the cosmic radiation and space weather environment.
Sunstorm,sunstorm,https://www.nanosats.eu/sat/sunstorm.html,2021-08-17,Reentry 2024-09-05. Was operational? (Official post on ESA website on 2022-11-17 but possibly retired in September 2022),"Reentered, Operational, Retired",—,não,"The SUNSTORM satellite’s XFM instrument is capable of measuring high-energy electrons and detected even a 10 times higher electron flow values than normally in the SUNSTORM satellite’s 540 km high orbit well in advance of the geomagnetic storm which hit the Starlinks. In short, the satellite’s measurements showed that the eruption in question was both exceptionally long-lasting and clearly more energetic than normally. These properties are not detected with currently used instruments. This added information would have been crucial in predicting the magnitude of the upcoming geomagnetic storm.",https://kuvaspace.com/2022/09/22/sunstorm-mission-completed/,,ESA (European Space Agency),,2U,Solar X-ray Flux Monitor to monitor solar x-ray flares.
Binar 1,binar,https://www.nanosats.eu/sat/binar.html,2021-08-29,"Reentry 2022-09-30. Was semi-operational until 2021-11-02 (First heard about 2 weeks after launch when secondary beacon was commanded on, but final recorded transmission on that date according to SmallSat 2022 paper)","Reentered, Semi-operational, ?",B - coleta de plataformas (DCS/IoT),sim,"5 days passed and we resided ourselves to the fact that maybe we couldn’t reach Binar. Then… 2 weeks later we heard back from the satellite after successfully enabling a secondary beacon!! So now what? Where do we go from here? We take what we learn and improve it for the next mission.
For example, we assumed the radio module we tested on the ground worked the same as the one we sent to space—but that wasn’t the case, leading to some frantic last-minute changes that eventually meant we didn’t get the images or data we hoped for from orbit.",https://digitalcommons.usu.edu/smallsat/2022/all2022/56/ | https://www.thespacereview.com/article/4486/1,"No signal until COTS communication system was put into its own beacon mode, which depleted the battery after 11.5 days. Most likely adapter board failure.",Curtin University,,1U,Test CubeSat technologies for deep space missions.
CAPSat,capsat,https://www.nanosats.eu/sat/capsat.html,2021-08-29,"Reentry 2023-01-31. Was operational until 2021-11-XX, about 1 month? (Post about file download on official website on 2021-11-08 but SmallSat2022 paper said that functionality was lost after launch as of 2022-12-24)","Reentered, Was operational",—,não,"CAPSat, however, lost its functionality after launch, in-orbit laser annealing therefore could not be implemented.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5206&context=smallsat,,University of Illinois Urbana-Champaign,US,3U,Investigate attitude control with strain-actuated deployable panels plus active thermal system.
CUAVA-1,cuava-1,https://www.nanosats.eu/sat/cuava-1.html,2021-08-29,Reentry 2022-09-02. No signal (No confirmation found as of 2021-12-29 and official website had been quiet after the deployment. SmallSat 2023 presentation),"Reentered, No signal",A - sensoriamento remoto,sim,"As discussed in some of the highlighted failure root causes include:
the high computational burden imposed by the operating system on OnBoard Computer (OBC);
a vulnerable SD card and boot sequence;
last minute double tie-down requirement for antennas imposed by the launcher;
Electrical Power System (EPS) compatibility issue with the rest of the satellite bus;
potential current leakage from a payload switched ON at boot;
not enough margin for the solar panel sizing;
insufficient testing time (and COVID impact);
Some of the risk mitigation strategies are listed as below:
introduce a payload computer to reduce the computational burden on the OBC;
move the graphical software interface off-line to the ground station computer with the revised software operation system;
implement a recovery and dual boot sequence;
change the EPS subsystem for better capability and reliability;
additional power margin added during solar panel sizing
These changes address and should resolve the CUAVA1 risks identified above.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5558&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5558&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5558&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5558&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5558&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5558&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5558&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5558&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5558&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5558&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5558&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5558&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5558&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5558&context=smallsat | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5558&context=smallsat,Various theories listed.,University of Sydney,Australia,3U,Educational mission and multiple radio amateur community activities including W-band (76 GHz) transmitter.
CuPID,cupid,https://www.nanosats.eu/sat/cupid.html,2021-09-27,"Was operational until ? (Press release about start, but marked as Failure in the NASA CubeSat Fleet Missions database)","Was operational, ?",A(fraco) - câmera sem alvo declarado,não,Marked as Failure in the NASA SmallSat/CubeSat Fleet Missions Database.,https://s3vi.ndc.nasa.gov/cubesat/,,Boston University,US,6U,Carry a miniaturized soft x-ray imaging telescope.
CUTE,cute,https://www.nanosats.eu/sat/cute.html,2021-09-27,Reentry 2026-07-17. Was operational (Twitter post on 2022-09-25 and SmallSat 2022 paper as of 2022-12-24. SmallSat 2023 presentation SpaceNews article 2023-12-12. SmallSat 2024 presentation.),"Reentered, Operational",—,não,"CUTE captured ~50 scientifically viable transits from 6 exoplanets despite frequent sun-point regressions.
The first NASA-funded small satellite for exoplanet science is continuing to gather data well beyond its expected lifetime. CUTE was designed to operate in space for at least eight months. Twenty-seven months later, the satellite’s onboard instruments still are observing the dramatic atmospheric loss of “hot jupiters,” gas giants orbiting very close to bright stars. CUTE remains operational more than two years after launch thanks to ingenuity and luck.
Since its launch, CUTE has experienced an unusually high frequency of ADCS-driven safe mode events, occurring up to three times per week. An investigation into the issue revealed the frequent safe mode events to be due to a timing issue of the Inertial Measurement Unit (IMU) information packets before being sent to the Guidance, Navigation and Control system (GNC). This issue is described as a “glitch” due to the sudden jump discontinuity in certain spacecraft telemetry data following an IMU timing issue. Telemetry analysis revealed significant discrepancies between commanded and reported attitude quaternions, casting doubt on the spacecraft's reported attitude and telemetry values during these glitch events. By conducting a thorough analysis of Sun sensor photodiode counts, battery cycles, spacecraft body rate, and magnetic field vectors, we concluded that the spacecraft's reported quaternions did not accurately reflect its actual orientation following the glitch events. The team utilized basic attitude determination methods, such as integrating the spacecraft's body rate, to further approximate its attitude around the glitches. This calculated attitude revealed that, at times, the glitch was causing the spacecraft's telescope to partially orient towards the Sun, likely leading to the degradation of the primary science instrument over time.
Since launch, the sensitivity of CUTE’s optics have fallen faster than expected. CUTE’s telescope optics are coated with Aluminum and protected with a thin layer of MgF2 to prevent or slow the rate of the formation of Al2O3, which absorbs UV light rather than reflecting it. Exposure to UV light, such as that coming from the Sun, can significantly accelerate the growth of an Al2O3 layer (Robert F. Berg, 2023). As the glitches cause the CUTE primary mirror to be exposed to the Sun, the CUTE team suspects that these glitches are the driving factor of the accelerated degradation of the instrument’s sensitivity. This reduces the number of astronomical objects available for CUTE to observe. Nonetheless, it is also possible that CUTE’s loss of effective area could be due to the use of a bare-Al grating, rather than an MgF2-protected grating, or other sources of contamination and degradation.",https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5687&context=smallsat | https://spacenews.com/cubesat-offers-template-for-future-astronomy-missions/ | https://digitalcommons.usu.edu/smallsat/2024/all2024/11/ | https://digitalcommons.usu.edu/smallsat/2024/all2024/11/,Some decrease in sensitivity of optics.,University of Colorado Boulder,US,6U,Characterize the composition and mass-loss rates of exoplanet atmospheres.
